语文,数学,外语,Python
9,93,142,83
86,31,83,16
80,41,43,89
29,148,93,53
124,22,9,139
8,67,60,94
97,145,105,145
46,48,34,102
75,68,131,33
146,33,81,17
22,149,12,74
52,100,72,106
25,9,73,17
148,93,62,32
148,90,122,112
127,67,38,53
10,50,45,113
21,88,69,138
54,10,79,117
110,58,67,29
134,99,43,146
30,21,33,113
81,76,118,55
145,137,35,75
140,127,37,15
148,2,103,103
14,42,69,45
87,16,83,13
101,133,63,28
138,45,42,118
49,139,2,62
26,117,51,7
74,84,46,131
36,48,113,49
102,140,99,127
68,37,110,44
52,82,18,73
75,129,73,129
66,123,115,136
9,4,79,74
114,145,146,22
124,120,70,80
3,31,66,133
80,141,29,42
57,15,83,117
18,112,135,131
149,106,45,66
24,58,83,46
122,42,11,147
113,105,16,81
14,31,27,133
6,100,56,57
39,132,6,125
85,9,12,11
110,83,20,127
95,72,23,131
43,74,115,3
27,43,49,102
136,15,143,105
98,131,96,72
141,34,47,54
58,57,85,91
130,74,18,124
31,55,142,77
40,25,141,45
50,89,57,0
109,15,127,25
147,69,90,130
22,143,130,24
12,95,73,135
88,10,55,37
98,122,42,16
71,134,92,106
40,95,120,144
2,132,41,59
70,132,18,108
74,91,147,69
32,83,108,84
36,70,131,16
94,18,127,83
97,130,135,35
136,0,87,143
110,88,23,25
100,5,72,93
79,78,61,107
121,83,4,57
42,47,122,72
76,14,20,138
1,135,119,59
116,66,100,59
66,84,88,55
16,143,75,126
41,5,112,123
72,23,69,105
126,115,23,116
25,85,7,31
48,147,83,79
119,88,20,137
58,147,37,60
9,77,85,57
31,34,119,1
131,76,45,96
104,117,77,92
5,85,31,26
4,94,86,144
41,57,71,149
8,50,35,123
43,86,71,21
39,80,57,54
63,1,45,42
21,57,112,111
34,49,131,42
115,17,43,65
145,37,72,112
130,58,33,11
53,141,4,40
53,116,89,52
56,48,65,57
94,15,92,144
36,99,83,14
147,121,131,118
80,54,52,45
142,24,70,81
86,85,36,149
20,72,37,59
88,141,127,22
51,79,75,28
69,51,77,79
33,95,87,102
3,110,37,67
132,142,72,68
11,82,97,64
38,92,37,35
76,66,146,132
77,9,106,81
43,111,103,104
110,8,22,146
117,86,36,117
132,16,150,32
92,25,1,124
20,79,44,16
127,105,134,129
70,67,32,140
106,30,88,143
116,45,53,0
14,121,35,90
36,132,119,34
124,86,50,11
125,129,49,20
97,31,61,88
37,118,129,15
90,77,65,0
69,148,78,107
124,28,64,46
114,104,71,106
19,34,9,105
135,62,145,76
10,57,11,51
105,31,132,3
134,18,70,42
37,71,105,147
121,108,96,52
24,39,90,2
88,113,57,16
46,80,86,108
63,22,54,88
127,59,108,85
32,33,131,8
84,113,52,31
42,86,69,62
32,132,4,67
105,98,137,29
13,111,45,110
39,139,40,56
58,13,25,124
137,146,148,83
111,40,74,28
65,12,5,86
136,118,107,146
139,49,118,31
79,32,5,89
81,126,41,147
6,104,137,120
41,89,121,72
126,112,145,60
74,134,117,134
114,133,44,56
10,33,7,130
149,38,100,5
13,119,139,47
26,114,39,128
14,123,127,88
34,60,53,110
28,74,117,82
24,131,104,144
123,124,5,145
127,68,68,64
115,98,33,90
117,45,120,55
137,25,103,37
114,71,26,35
60,13,9,55
10,59,61,115
46,123,27,141
85,61,88,60
11,15,143,93
90,79,22,40
82,65,112,14
117,131,44,142
96,33,19,94
45,51,52,83
64,3,35,72
18,74,76,47
97,24,17,109
32,141,119,137
81,150,46,47
64,60,43,95
136,19,112,75
144,70,102,60
58,73,16,127
67,108,111,26
131,26,44,45
116,32,100,81
0,79,21,121
69,20,125,30
139,22,4,94
26,133,140,96
13,134,46,80
86,97,133,4
28,63,51,79
21,62,111,28
19,48,130,60
90,72,23,22
5,49,138,136
5,45,34,123
90,47,112,115
11,114,99,16
130,56,50,133
121,60,39,89
150,147,43,60
14,12,45,69
118,29,8,64
15,114,38,142
107,26,44,123
7,100,91,136
67,15,78,10
32,38,141,58
21,117,79,112
13,95,138,14
141,91,13,58
84,94,145,150
98,115,106,94
97,15,32,4
134,32,7,137
108,2,34,102
21,21,46,41
81,100,35,58
3,126,95,18
7,96,2,7
141,127,120,16
122,119,131,39
6,14,74,96
122,11,96,110
134,36,127,101
3,29,91,115
52,122,42,73
76,16,51,6
47,52,33,36
37,148,140,144
108,61,0,129
116,15,62,27
40,114,17,59
97,144,45,104
29,144,143,111
105,22,130,100
42,81,0,55
38,26,133,43
21,90,67,58
53,127,103,40
88,4,77,123
65,97,22,88
106,125,80,51
84,73,145,79
48,107,60,9
2,126,4,123
115,45,146,116
14,148,78,21
122,29,52,44
9,37,80,115
32,35,75,98
142,58,83,6
117,2,16,23
29,16,94,29
134,15,78,64
35,60,98,92
82,17,81,35
62,149,147,46
74,51,92,32
93,58,138,117
118,73,12,18
94,124,114,147
27,19,144,3
12,134,138,87
129,117,58,111
144,140,37,64
61,99,148,89
99,11,29,138
114,64,44,17
108,80,45,133
105,83,13,5
41,77,113,103
43,143,52,118
119,85,71,129
103,99,80,132
135,18,145,49
138,108,134,14
38,147,111,124
38,31,81,111
126,100,18,137
52,115,113,57
106,146,101,15
143,81,51,147
56,72,34,124
116,57,134,117
41,100,122,23
136,45,103,15
66,86,132,40
138,78,3,127
95,112,100,63
53,0,147,100
108,57,106,92
119,122,41,65
142,74,25,25
95,8,56,8
118,46,88,13
111,28,118,72
25,140,128,116
10,68,51,27
110,60,133,52
29,109,121,118
130,75,113,64
11,65,63,81
7,99,59,83
78,6,142,143
94,131,98,1
130,113,90,95
126,34,1,125
13,6,3,143
142,27,100,20
129,33,109,143
107,4,60,47
83,108,37,143
113,86,86,72
34,38,34,83
45,12,14,81
135,131,62,120
99,37,24,146
141,98,5,101
148,147,127,143
150,35,126,137
15,117,114,14
35,85,47,10
109,23,43,18
114,6,96,118
48,107,59,144
115,34,26,96
88,10,46,11
48,117,129,105
50,121,109,26
125,135,61,142
54,94,35,60
17,115,10,110
144,75,32,144
22,100,72,104
25,49,33,140
133,91,33,122
133,122,66,13
114,89,46,110
3,109,130,35
95,59,35,60
39,104,95,116
30,121,30,47
107,77,16,18
126,14,100,25
103,121,85,125
39,36,30,135
74,29,131,99
71,11,45,35
116,145,67,125
105,46,41,149
90,14,39,38
16,65,135,63
113,58,34,46
19,27,46,90
14,94,49,149
138,122,142,11
63,65,87,18
94,5,46,48
59,21,110,33
132,64,122,73
148,105,27,130
98,1,105,94
137,91,38,13
13,107,135,133
9,107,104,97
123,147,126,20
150,136,83,95
38,28,89,63
35,93,132,74
93,41,103,90
12,134,2,103
95,42,46,109
27,27,115,58
134,44,75,9
11,94,58,88
74,93,63,150
49,93,66,39
53,108,46,84
99,131,74,52
14,40,29,98
149,117,87,11
64,9,66,71
9,33,41,117
99,144,41,16
45,24,75,130
29,89,146,91
128,70,17,142
65,70,39,120
22,89,8,68
59,41,16,118
30,4,130,40
97,53,79,123
124,32,64,29
101,78,10,109
81,74,71,16
147,41,121,97
36,47,19,39
48,126,33,11
127,34,16,50
6,61,49,59
147,126,41,54
83,53,16,71
136,24,39,107
119,4,133,132
113,118,83,38
53,119,80,51
43,129,77,137
67,66,50,52
106,113,64,74
98,41,73,116
49,130,110,24
94,146,134,29
118,73,95,30
63,101,14,81
68,143,125,126
4,127,121,126
102,46,123,7
123,64,29,126
123,124,80,11
71,142,23,62
137,118,109,83
87,16,22,149
105,48,111,55
32,35,142,29
42,138,90,121
124,141,97,49
11,18,143,85
98,94,68,45
123,115,1,46
7,37,150,124
30,22,107,97
54,53,89,22
66,21,45,79
106,107,119,15
59,79,67,104
118,8,7,11
3,6,100,139
17,66,0,5
8,77,19,61
14,147,52,110
141,4,80,8
72,95,82,111
24,140,106,23
77,117,119,36
117,130,137,98
105,80,143,63
93,40,16,36
79,148,42,82
141,105,139,130
100,33,73,92
6,41,1,104
104,14,90,67
83,50,72,17
88,136,19,29
8,51,47,118
23,100,35,125
131,128,54,7
135,136,122,126
29,100,59,108
86,20,112,109
18,20,42,41
28,103,20,125
136,77,78,11
30,6,78,116
54,33,91,90
29,12,69,116
131,21,69,130
46,141,96,2
119,6,32,10
39,15,137,70
43,107,102,70
100,131,40,145
147,102,10,77
49,14,40,132
89,27,3,98
80,75,96,41
34,102,82,1
15,126,147,150
60,133,47,99
73,38,56,86
136,106,96,108
45,80,10,44
150,150,114,27
85,6,8,95
2,114,147,138
93,38,71,37
42,143,138,144
43,42,59,37
55,96,107,35
90,87,98,82
105,128,46,122
23,127,23,125
11,9,42,148
142,83,59,103
17,60,84,113
124,125,30,50
107,146,113,68
23,132,59,59
121,95,143,58
71,10,60,146
128,122,77,38
11,78,20,69
92,41,81,125
121,114,117,137
71,48,31,14
15,98,105,104
40,91,77,120
106,17,82,61
8,131,61,6
70,27,99,21
114,23,133,47
34,110,106,58
50,125,43,72
127,106,141,149
76,99,126,81
118,69,122,43
148,45,86,119
58,72,5,118
136,102,38,6
39,121,0,32
10,54,110,56
123,17,143,56
131,96,150,40
94,56,72,137
141,21,48,80
1,29,68,70
111,69,114,121
141,142,77,89
105,27,113,78
4,59,37,10
144,105,84,84
17,31,76,30
56,72,147,49
0,5,44,51
112,4,109,116
65,43,78,8
61,99,13,0
40,49,127,149
29,147,111,67
